@relation AutobotDataset

@attribute enemyDistance numeric
@attribute enemyVelocity numeric
@attribute enemyDirectionRelativeToGun numeric
@attribute hit numeric

@data
102.101712,4,0.99983,0
181.733952,4,0.99983,1
261.64237,4,0.999557,1
330.167415,4,0.999829,1
400.024272,4,0.999584,1
469.081973,4,-0.285621,0
521.921687,4,-0.999936,0
573.237769,4,-0.823217,0
584.540338,-6,0.021363,0
523.652243,6,0.079618,0
478.982406,4,-0.057881,0
507.749,4,-0.108339,0
544.326305,-4,-0.254996,0
570.49722,-4,-0.303107,0
592.508101,-6,-0.152399,0
589.363275,-6,-0.138431,0
535.586839,4,-0.083848,0
515.383875,4,-0.10267,1
524.820739,4,0.92471,0
536.515039,-6,0.977518,0
446.817974,-6,0.977468,1
442.217405,4,0.666549,0
516.823539,4,-0.489927,0
535.245764,-6,-0.684569,0
553.384179,-6,-0.997333,0
629.944404,-6,-0.990723,0
685.269698,2,-0.990601,1
627.660451,4,-0.720435,0
674.052873,4,-0.06549,0
577.236252,4,0.977389,0
525.951522,-2,0.973793,0
452.713114,-6,0.981997,1
517.228128,-6,0.981997,0
434.310339,4,-0.631595,0
476.022732,4,-0.999804,0
511.343034,4,-0.999217,0
526.253654,4,-0.755135,0
547.429877,-6,0.580394,0
597.662251,-6,0.678185,0
641.802554,5,0.692076,0
692.077808,4,0.569701,0
694.074633,4,0.404654,0
642.693553,-4,0.194214,0
506.418655,-6,-0.056984,0
386.619768,-6,-0.139775,0
291.233749,-4,-0.20063,1
238.301187,4,0.548449,0
196.33892,4,0.803983,1
171.347953,-4,0.967172,1
93.657443,-6,0.983142,1
38.323611,0,0.922039,1
645.681052,3,-0.001941,0
637.118431,-4,-0.033808,1
601.250238,6,-0.083889,1
598.9935,-4,0.942966,0
625.931029,4,0.804635,0
633.873581,-4,0.527608,1
580.774953,-6,-0.35289,0
507.959787,-6,-0.44365,0
494.496922,-6,-0.43705,1
517.921302,2,-0.97381,0
489.357509,4,-0.030902,0
376.481631,-6,0.919591,0
449.922231,4,0.948822,0
410.786292,-2,0.989695,0
322.434148,-6,0.990913,1
349.453304,4,-0.10114,0
306.660828,4,-0.499117,0
375.687387,2,-0.461384,0
431.254229,-6,-0.432355,1
509.445426,-6,0.874423,0
531.213934,4,0.887361,0
530.802244,4,-0.20578,0
554.632569,4,-0.953263,0
518.532766,-6,-0.992459,0
503.990613,-6,-0.986372,0
567.804291,0,-0.983966,1
505.160572,4,-0.115794,0
505.161406,4,0.854028,0
507.772565,-6,0.865456,0
502.700598,-6,0.886787,0
490.72594,-4,0.911388,0
525.680893,4,0.89582,1
561.503696,-4,0.856541,0
532.325564,4,0.848337,0
470.794709,-6,-0.021948,0
476.872586,-6,-0.303712,0
421.522583,-6,-0.099297,0
370.129575,-2,-0.051017,0
329.42824,4,-0.063727,1
339.769399,4,-0.284785,0
309.457526,-1,-0.74222,0
328.718152,-6,-0.695854,1
390.991829,-6,0.954347,0
423.234837,4,0.717629,0
432.551162,4,-0.167762,0
482.948544,4,-0.985354,0
469.127737,0,-0.988997,1
462.468016,-6,-0.988356,0
412.549211,6,0.618304,0
356.40821,4,0.958108,0
339.851535,4,0.956216,1
349.168557,-4,0.958914,0
282.461502,-6,0.965771,1
235.921978,-6,-0.762894,0
223.385236,-6,-0.701192,0
253.072033,3,-0.629556,0
208.341046,4,-0.299948,0
195.120821,4,0.041016,0
182.999151,4,0.530827,0
209.342632,4,0.690099,0
270.582382,4,0.799389,0
356.978462,4,0.984032,0
148.639934,-6,0.993124,1
339.517129,-6,0.811572,0
102.624832,3,0.794947,1
255.996267,-6,0.994581,0
180.343909,4,0.95469,1
257.64249,4,-0.23135,0
326.178497,2,-0.439403,0
359.130905,-6,-0.987823,0
406.191689,-6,-0.989779,0
466.113208,-6,-0.98511,1
447.52041,-6,-0.845431,0
396.32629,4,-0.720048,1
290.810127,-1,-0.01998,0
283.477607,-4,-0.293692,0
281.992212,-4,-0.685263,0
253.712839,-6,-0.703531,0
299.042031,0,-0.697507,1
136.975957,4,-0.79246,1
38.631075,0,-0.999962,1
248.325609,4,-0.999962,0
37.635558,0,-0.999962,1
50.488873,-0.5,-0.247283,1
81.87736,-6,0.50466,1
36.64101,0,0.412326,1
113.954864,-6,0.51497,0
73.667253,6,0.96581,1
121.602524,-6,0.946163,0
84.092699,4,0.734069,1
97.601431,4,0.548374,1
75.528236,4,0.439451,0
142.499356,4,0.683537,0
179.613957,-2,0.944852,1
163.923573,-4,0.91399,1
170.752858,-4,0.845572,1
174.411109,-6,0.845357,1
