@relation AutobotDataset

@attribute enemyDistance numeric
@attribute enemyVelocity numeric
@attribute enemyDirectionRelativeToGun numeric
@attribute notHit numeric
@attribute hit numeric

@data
0.386957,0.625,-0.710157,0,1
0.338985,0.625,0.999217,1,0
0.336025,0.625,0.826422,1,0
0.375672,0.625,-0.704688,1,0
0.444806,0.625,-0.551214,1,0
0.420613,0.625,0.70179,1,0
0.360682,0.625,0.904175,1,0
0.31353,0.625,0.661156,0,1
0.360012,0.625,-0.79878,1,0
0.394731,0.625,-0.867381,1,0
0.350608,0.625,-0.807697,0,1
0.302597,0.625,0.949857,1,0
0.32171,0.625,0.408384,1,0
0.36003,0.625,-0.607178,1,0
0.407228,0.625,-0.973889,1,0
0.409157,0.625,-0.836563,0,1
0.363784,0.625,0.995231,1,0
0.2938,0.625,0.664576,1,0
0.311656,0.625,-0.328835,1,0
0.360959,0.625,-0.990869,1,0
0.368869,0.625,-0.606716,1,0
0.327241,0.625,0.573377,1,0
0.281586,0.625,0.954127,1,0
0.282837,0.625,0.611711,0,1
0.333999,0.625,-0.804915,1,0
0.370062,0.625,-0.842759,1,0
0.349976,0.625,-0.559999,0,1
0.301749,0.625,0.942782,1,0
0.31866,0.625,0.4107,0,1
0.369,0.625,-0.937121,1,0
0.400098,0.625,-0.696776,1,0
0.377326,0.625,-0.333467,0,1
0.325039,0.625,0.882864,1,0
0.333314,0.625,0.277581,0,1
0.385941,0.625,-0.979291,1,0
0.413833,0.625,-0.64912,1,0
0.370007,0.625,-0.64912,0,1
0.317196,0.625,0.987457,1,0
0.28119,0.625,0.551075,1,0
0.316965,0.625,-0.456864,1,0
0.363294,0.625,-0.999808,1,0
0.363912,0.625,-0.285234,1,0
0.318186,0.625,0.860815,1,0
0.288937,0.625,0.721489,1,0
0.313498,0.625,-0.349536,1,0
0.36396,0.625,-0.994036,1,0
0.375753,0.625,-0.553442,1,0
0.336641,0.625,0.554455,1,0
0.263611,0.625,0.981806,1,0
0.233486,0.625,0.823345,0,1
0.284545,0.625,-0.531984,1,0
0.310502,0.625,-0.999964,1,0
0.291586,0.625,-0.899901,0,1
0.243176,0.625,0.981364,1,0
0.253024,0.625,0.792151,0,1
0.299684,0.625,-0.596659,1,0
0.350217,0.625,-0.979159,1,0
0.346248,0.625,-0.847111,0,1
0.293149,0.625,0.99999,1,0
0.23192,0.625,0.601305,1,0
0.274974,0.625,-0.547228,1,0
0.314353,0.625,-0.999901,1,0
0.30411,0.625,-0.941202,0,1
0.254324,0.625,0.648289,1,0
0.232817,0.625,0.8808,1,0
0.260723,0.625,-0.077867,1,0
0.31079,0.625,-0.906893,1,0
0.321868,0.625,-0.79724,1,0
0.282957,0.625,0.379207,1,0
0.269175,0.625,0.949211,1,0
0.316333,0.625,0.338154,0,1
0.367639,0.625,-0.929462,1,0
0.392573,0.625,-0.629332,1,0
0.327111,0.625,-0.629332,0,1
0.216812,0.625,0.752886,1,0
0.257636,0.625,0.979379,1,0
0.268343,0.625,-0.671276,1,0
0.297155,0.625,-0.996909,1,0
0.274366,0.625,-0.91262,0,1
0.212777,0.625,0.371892,1,0
0.140368,0.625,0.075264,0,1
0.104131,0.625,-0.633826,0,1
0.045706,0,-0.992587,0,1
