@relation AutobotDataset

@attribute enemyDistance numeric
@attribute enemyVelocity numeric
@attribute enemyAngle numeric
@attribute enemyHeading numeric
@attribute myGunToEnemyAngle numeric
@attribute firePower numeric
@attribute hit numeric

@data
435.607327,8,298.59691,164.867753,-61.40309,1,0
341.641361,8,293.30597,112.867753,-66.69403,1,0
159.794471,8,339.246128,124.867753,-20.753872,1,1
265.528904,8,295.002655,60.867753,-64.997345,1,0
44.039819,0,330.650949,180.867753,-29.349051,1,1
231.917363,8,317.533736,72.867753,-42.466264,1,0
38.669328,-3,16.565584,266.617753,16.565584,1,1
93.371336,-8,93.396671,294.867753,93.396671,1,0
205.251102,-8,105.335842,242.867753,105.335842,1,0
257.568399,-8,85.53691,190.867753,85.53691,1,0
218.506066,-8,81.564893,153.117753,81.564893,1,0
255.206944,-8,58.716778,205.117753,58.716778,1,0
270.472604,6,55.708984,281.867753,55.708984,1,0
248.778513,8,34.800275,334.867753,34.800275,1,0
317.043133,-2,26.231511,38.117753,26.231511,1,0
272.976803,-8,42.531392,341.617753,42.531392,1,0
289.091615,-8,62.868044,289.617753,62.868044,1,0
252.292816,8,65.331011,231.117753,65.331011,1,1
112.802245,8,43.17203,283.117753,43.17203,1,0
143.967207,8,335.946791,339.117753,-24.053209,1,0
234.818955,8,337.5821,31.117753,-22.4179,1,0
269.442709,1,343.054872,111.617753,-16.945128,1,0
250.820583,8,2.717948,83.367753,2.717948,1,0
265.813261,-6,13.15693,6.617753,13.15693,1,0
206.463544,-8,31.563298,312.367753,31.563298,1,0
222.525977,-2,39.867974,34.867753,39.867974,1,0
188.246345,-8,31.7237,102.617753,31.7237,1,0
214.717416,1,21.064679,165.867753,21.064679,1,1
137.633265,8,30.050444,204.867753,30.050444,1,1
142.403608,8,97.285005,152.867753,97.285005,1,0
276.58104,8,110.258395,100.867753,110.258395,1,0
361.605676,8,100.54328,48.867753,100.54328,1,1
320.437768,-8,104.680431,105.867753,104.680431,1,0
237.812792,-8,92.788685,157.867753,92.788685,1,0
280.351169,6,62.705907,294.617753,62.705907,1,0
263.096809,-8,70.36885,209.867753,70.36885,1,0
133.465607,8,26.135456,222.867753,26.135456,1,1
238.818317,8,41.410163,274.867753,41.410163,1,0
45.481721,-6,17.747642,156.117753,17.747642,1,0
190.426894,8,299.144386,233.867753,-60.331979,1,0
287.410919,8,286.614957,285.867753,-73.385043,1,1
356.744128,-3,289.894042,350.617753,-70.105958,1,0
393.103993,-8,277.335689,28.867753,-82.664311,1,0
333.048437,-8,250.103783,284.867753,-109.896217,1,1
394.625039,-8,262.679389,336.867753,-97.320611,1,0
233.560248,-8,247.199143,232.867753,-112.800857,1,1
147.488668,-8,267.235366,260.867753,-92.764634,1,1
88.328796,-8,296.312205,312.867753,-63.687795,1,1
65.624167,-8,290.184654,4.867753,-69.815346,1,1
128.198656,0,278.936833,65.867753,-81.063167,1,1
282.226705,-5,266.394075,228.979454,-93.605925,1,0
265.919338,-8,286.623091,172.479454,-73.376909,1,0
325.269754,2,296.07048,136.729454,-63.92952,1,0
300.587264,0,281.702394,204.479454,-78.297606,1,1
233.213618,-8,287.223483,283.479454,-72.776517,1,1
242.284816,3,278.382016,0.229454,-81.617984,1,0
245.549013,8,299.880746,13.479454,-60.119254,1,0
309.911433,-1,312.136887,315.479454,-47.863113,1,0
329.790429,2,317.400638,231.229454,-42.599362,1,0
439.063318,8,306.63308,268.979454,-53.36692,1,0
524.860256,-1,304.425159,326.979454,-55.574841,1,0
559.758867,-8,297.33665,37.479454,-62.66335,1,1
442.870562,8,313.785071,27.479454,-46.214929,1,0
521.344257,8,296.642569,125.479454,-63.357431,1,0
467.06428,8,301.474521,79.479454,-58.525479,1,0
453.217425,-5,320.878289,312.979454,-39.121711,1,0
316.167865,-8,322.994846,357.729454,-37.005154,1,0
284.518044,-8,304.697734,49.729454,-55.302266,1,0
360.650606,-8,292.946021,101.729454,-67.053979,1,0
468.188443,2,296.253097,171.729454,-63.746903,1,0
478.775518,8,285.856112,197.479454,-74.143888,1,0
443.367979,8,274.140699,145.479454,-85.859301,1,0
353.352067,8,267.671824,93.479454,-92.328176,1,0
229.379104,8,300.297134,85.479454,-59.702866,1,1
293.305181,8,283.149272,41.479454,-76.850728,1,0
195.809557,8,315.316549,137.479454,-44.683451,1,1
269.356926,8,256.916824,241.479454,-87.834388,1,0
368.943877,8,259.60902,293.479454,-100.39098,1,1
458.091005,8,266.509787,271.479454,-93.490213,1,0
551.971341,8,262.425596,219.479454,-97.574404,1,0
579.997622,-8,263.927968,140.479454,-96.072032,1,0
636.414891,-8,271.631098,163.479454,-88.368902,1,0
627.092416,-8,280.715105,215.479454,-79.284895,1,0
550.457397,-8,287.057045,267.479454,-72.942955,1,0
461.685016,-2,285.941145,323.979454,-74.058855,1,0
455.333387,8,294.205755,29.479454,-65.794245,1,0
502.771897,8,304.828981,337.479454,-55.171019,1,0
602.983791,8,305.603159,285.479454,-54.396841,1,0
674.2263,8,299.231667,233.479454,-60.768333,1,0
703.371536,-2,292.727736,264.729454,-67.272264,1,0
607.445814,-8,289.868473,332.479454,-70.131527,1,0
587.806156,5,276.812969,104.979454,-83.187031,1,1
581.858647,-8,280.492824,24.479454,-79.507176,1,0
495.719351,8,270.841082,95.479454,-89.158918,1,0
387.336499,8,270.543991,43.479454,-89.456009,1,0
374.251591,8,285.580358,351.479454,-74.419642,1,0
456.921335,8,293.737069,315.479454,-66.262931,1,0
527.463467,8,302.096814,7.479454,-57.903186,1,0
466.210183,8,321.828369,111.479454,-38.171631,1,1
531.093818,8,312.984199,59.479454,-47.015801,1,0
372.223054,8,323.657584,163.479454,-36.342416,1,0
209.248422,8,288.073057,117.479454,-71.926943,1,1
338.95128,8,315.37894,215.479454,-44.62106,1,0
298.309558,8,298.761284,169.479454,-61.238716,1,0
43.793514,0,332.423295,113.479454,-27.576705,1,1
167.216236,8,297.444676,65.479454,-62.555324,1,0
159.083512,8,307.607356,61.479454,-52.392644,1,0
109.98137,-8,357.52517,182.479454,-2.47483,1,0
221.77435,0,23.93421,242.479454,23.93421,1,0
235.886569,8,5.560702,295.479454,5.560702,1,0
243.055236,8,341.397948,243.479454,-18.602052,1,0
116.450061,8,295.49885,139.479454,-64.50115,1,1
44.354197,-5,294.536595,159.979454,-65.463405,1,1
201.290009,8,317.551108,191.479454,-42.448892,1,0
86.172194,-8,18.068095,216.479454,18.068095,1,0
200.731208,-8,62.866554,268.479454,62.866554,1,0
273.046433,-2,78.692877,323.979454,78.692877,1,0
304.279257,-1,70.77925,23.479454,70.77925,1,1
245.446968,8,62.151371,285.729454,62.151371,1,0
149.934576,8,50.806781,233.729454,50.806781,1,1
59.211079,8,87.253911,253.479454,81.881873,1,1
149.3733,-8,113.569273,322.479454,113.569273,1,0
230.179006,-8,134.817019,14.479454,134.817019,1,0
253.037875,3,146.928061,90.229454,146.928061,1,0
335.832031,8,138.594005,103.479454,138.594005,1,0
391.665989,8,125.365615,51.479454,125.365615,1,0
391.678864,2,116.131513,332.479454,116.131513,1,0
311.602941,8,103.748635,345.729454,103.748635,1,0
327.373182,8,85.87303,37.729454,85.87303,1,0
408.590859,-8,65.607705,274.271321,65.607705,1,1
522.438342,-8,66.46702,222.271321,66.46702,1,1
574.78768,7,67.693038,204.021321,67.693038,1,1
486.023334,8,71.013119,256.771321,71.013119,1,0
419.028111,8,62.85014,308.771321,62.85014,1,0
419.303232,0,52.207353,16.396321,52.207353,1,0
299.802518,-8,37.762564,75.521321,37.762564,1,0
50.995562,0,37.359626,331.521321,37.359626,1,1
192.421559,-8,29.652435,23.521321,29.652435,1,0
105.507947,8,292.565505,271.521321,-67.434495,1,1
268.467911,8,283.739025,323.521321,-76.260975,1,0
321.126456,8,300.404207,15.521321,-59.595793,1,1
401.276242,-6,298.647397,91.521321,-61.352603,1,0
417.431097,8,297.069498,177.521321,-62.930502,1,0
343.767462,8,289.17223,125.521321,-70.82777,1,0
253.80895,8,298.139831,73.521321,-61.860169,1,0
257.669455,8,324.215087,21.521321,-35.784913,1,0
327.13599,-1,335.009114,31.521321,-24.990886,1,0
410.004004,-8,327.841772,104.521321,-32.158228,1,0
364.65365,8,320.197782,181.521321,-39.802218,1,0
326.087517,8,300.283115,233.521321,-59.716885,1,0
404.619952,8,289.816755,251.521321,-70.183245,1,1
462.497481,-7,289.457192,173.271321,-70.542808,1,0
477.024233,8,291.752335,93.521321,-68.247665,1,1
421.366127,8,292.896342,131.521321,-67.103658,1,0
398.111389,8,283.089313,183.521321,-76.910687,1,0
579.120163,8,272.008356,291.521321,-87.991644,1,0
625.712909,-8,271.296816,348.771321,-88.703184,1,0
580.874783,-8,265.250095,296.771321,-94.749905,1,0
480.616449,-8,264.514317,244.771321,-95.485683,1,0
419.685491,-8,274.721897,192.771321,-85.278103,1,0
356.799927,-8,300.648138,265.521321,-59.351862,1,1
417.372936,-8,288.722176,213.521321,-71.277824,1,0
257.390733,-8,303.424428,317.521321,-56.575572,1,0
201.915019,-2,299.098274,14.021321,-60.901726,1,0
209.35445,8,333.753908,79.521321,-26.246092,1,0
264.801073,8,0.819545,27.521321,0.819545,1,0
365.270046,8,0.462425,335.521321,0.462425,1,0
433.312388,8,349.797522,283.521321,-10.202478,1,0
483.009393,8,338.612187,303.521321,-21.387813,1,0
582.860511,8,337.392717,355.521321,-22.607283,1,0
596.176602,-8,334.440045,74.521321,-25.559955,1,0
597.856882,5,330.710646,155.021321,-29.289354,1,1
482.181702,8,325.045576,145.521321,-34.954424,1,0
363.714471,8,327.964229,93.521321,-32.035771,1,0
364.379778,8,343.829843,41.521321,-16.170157,1,0
453.989633,8,350.536843,5.521321,-9.463157,1,0
480.43851,-7,349.639433,83.771321,-10.360567,1,0
381.82505,8,338.370963,213.521321,-21.629037,1,0
475.485909,6,344.88739,161.271321,-15.11261,1,0
383.061498,8,323.273875,265.521321,-36.726125,1,0
287.436533,8,287.685825,115.521321,-72.314175,1,1
412.952361,8,309.419321,219.521321,-50.580679,1,0
182.231712,8,290.890751,111.521321,-69.109249,1,1
376.556733,8,295.777856,167.521321,-64.222144,1,0
141.838062,8,229.652219,163.521321,-130.347781,1,0
226.914766,-1,214.858419,221.521321,-145.141581,1,0
233.580083,2,209.361471,311.771321,-150.638529,1,0
216.78824,8,223.906825,337.521321,-136.093175,1,0
273.536943,8,240.265885,285.521321,-119.734115,1,1
370.702204,8,244.877973,233.521321,-115.122027,1,0
452.906012,8,236.789625,181.521321,-123.210375,1,0
456.90919,-7,232.245782,251.771321,-127.754218,1,0
398.135586,0,222.430368,304.521321,-137.569632,1,0
157.560046,8,43.75412,131.398265,43.75412,1,0
273.283688,8,69.962263,79.398265,69.962263,1,0
369.928772,8,65.001098,27.398265,65.001098,1,0
431.220641,8,53.17342,7.398265,53.17342,1,0
527.803484,8,49.841384,59.398265,49.841384,1,0
541.863591,8,50.866269,211.148265,50.866269,1,1
550.593009,-8,48.553752,138.398265,48.553752,1,0
440.640278,8,50.634806,261.398265,50.634806,1,1
334.743408,8,47.728654,209.398265,47.728654,1,0
327.754225,8,74.950777,137.398265,74.950777,1,0
432.784264,8,83.939338,85.398265,83.939338,1,0
527.588458,8,87.934887,129.398265,87.934887,1,0
545.997808,2,92.791016,208.398265,92.791016,1,1
440.364063,8,95.934997,273.398265,95.934997,1,0
314.484708,8,86.212694,325.398265,86.212694,1,0
224.049538,8,48.039358,255.398265,48.039358,1,1
300.249472,8,64.459771,311.398265,64.459771,1,0
133.73344,8,67.825127,203.398265,67.825127,1,0
226.050618,8,150.95818,243.398265,150.95818,1,0
201.003446,8,123.735201,191.398265,123.735201,1,0
196.33754,8,177.17936,295.398265,177.17936,1,0
185.135555,8,189.244773,347.398265,-170.755227,1,1
165.449711,8,170.381027,39.398265,170.381027,1,0
217.791611,8,140.486702,57.398265,141.494696,1,0
