@relation AutobotDataset

@attribute enemyDistance numeric
@attribute enemyVelocity numeric
@attribute enemyDirectionRelativeToGun numeric
@attribute hit numeric
@attribute notHit numeric

@data
0.280095,0.5,-0.36116,1,0
0.260255,-0.75,0.838527,0,1
0.25929,-0.75,0.829802,0,1
0.312778,-0.75,0.863459,0,1
0.234296,0.5,0.892423,0,1
0.279485,0.5,0.805341,1,0
0.233298,-0.5,0.988403,1,0
0.153861,-0.75,0.978121,1,0
0.085521,-0.75,0.504843,1,0
0.129655,-0.75,-0.006306,0,1
0.165914,-0.75,0.625914,0,1
0.204313,-0.75,0.707081,1,0
0.253327,0.5,0.774304,1,0
0.364681,0.5,-0.839841,1,0
0.446639,-0.125,-0.366011,1,0
0.527252,-0.75,0.80172,1,0
0.60204,-0.75,0.734738,1,0
0.625954,0.5,-0.779268,0,1
0.6486,0.5,-0.964271,0,1
0.656531,0.25,-0.895879,0,1
0.603162,-0.75,-0.857528,0,1
0.651378,0.375,-0.829696,0,1
0.619633,0.5,-0.824047,0,1
0.554087,0.5,-0.832529,1,0
0.510357,0.5,0.174937,0,1
0.570888,-0.75,0.278298,0,1
0.633304,-0.75,0.378556,0,1
0.625057,0.125,0.409782,0,1
0.642817,0.5,0.422683,0,1
0.668752,0.5,0.356839,0,1
0.617545,-0.75,0.434765,0,1
0.518817,-0.75,0.449385,1,0
0.477749,-0.25,0.883052,0,1
0.495323,0.5,0.787147,0,1
0.540227,0.5,-0.465165,0,1
0.53872,-0.75,-0.465165,0,1
0.466006,-0.75,-0.868985,0,1
0.426265,-0.75,-0.749853,0,1
0.365785,0.5,-0.318012,0,1
0.168733,0.5,-0.21464,1,0
0.284949,0.5,0.424403,0,1
0.115615,-0.75,-0.729701,0,1
0.103146,-0.75,-0.900188,0,1
0.202887,0.625,-0.247932,0,1
0.28775,-0.5,-0.495981,0,1
0.390609,-0.5,-0.644521,0,1
0.504456,-0.5,-0.626725,0,1
0.620924,-0.75,-0.297076,0,1
