@relation Autobot.arff

@attribute enemyDistance numeric
@attribute enemyVelocity numeric
@attribute enemyDirectionRelativeToGun numeric
@attribute notHit numeric
@attribute hit numeric

@data
0.136276,0.5,0.777997,1,0
0.388198,-0.25,-0.968402,0,1
0.12171,-0.75,-0.780248,1,0
0.395204,0.5,0.939247,0,1
0.555189,-0.5,0.878568,1,0
0.50454,-0.5,-0.998248,1,0
0.645453,-0.75,-0.548963,0,1
0.349628,-0.75,0.366036,1,0
0.48445,-0.5,-0.477097,1,0
0.501867,0.125,-0.987594,0,1
0.423618,0.5,0.833212,1,0
0.459857,-0.125,-0.865538,1,0
0.469041,-0.75,0.840148,1,0
0.452305,0.5,-0.135649,1,0
0.275235,-0.75,-0.775301,1,0
0.115165,0.5,0.873215,1,0
0.364539,0.5,0.550371,1,0
0.388967,-0.75,-0.981321,1,0
0.561167,0.5,-0.447926,1,0
0.068883,-0.75,0.992229,0,1
0.20551,0.25,0.953145,0,1
0.419291,0.125,0.771178,1,0
0.363769,-0.75,-0.065459,1,0
0.316046,-0.75,-0.788021,1,0
0.439256,-0.125,0.834643,0,1
0.116295,-0.5,-0.653715,0,1
0.339183,0.5,0.520562,1,0
0.150511,-0.75,-0.967279,0,1
0.362196,-0.75,-0.951896,1,0
0.439817,-0.75,-0.998783,1,0
0.29975,0.5,0.249533,0,1
0.376138,0.5,-0.858825,1,0
0.310155,0.25,-0.994085,0,1
0.332049,-0,-0.055712,0,1
0.283057,-0.75,-0.758178,1,0
0.286145,-0.75,0.680924,1,0
0.037374,-0.25,0.827504,0,1
0.246275,0.5,-0.239733,1,0
0.321339,-0,0.208322,1,0
0.446761,-0.75,-0.999998,0,1
0.282792,-0.75,0.014625,1,0
0.042933,0,-0.774319,0,1
0.492806,-0.75,0.999975,1,0
0.336221,0.5,-0.993564,1,0
0.140428,0.5,-0.207398,0,1
0.37288,-0.75,0.963942,1,0
0.138003,0.5,-0.726323,1,0
0.486733,-0.75,0.773938,1,0
0.639423,-0.25,0.965253,1,0
0.064462,0.5,-0.604259,0,1
0.450045,-0.5,0.753823,1,0
0.393947,-0.75,-0.646242,1,0
0.308978,-0.75,-0.953135,1,0
0.494508,0.5,0.98802,1,0
0.330483,-0.25,0.954049,1,0
0.158322,-0.75,0.881374,0,1
0.190128,0.5,-0.84648,0,1
0.596815,0.5,-0.651839,1,0
0.315689,-0.25,-0.52098,1,0
0.303384,0.5,-0.967585,1,0
0.276264,0.5,0.837801,0,1
0.114324,0.5,0.765389,1,0
0.234769,-0.75,0.032087,1,0
0.551839,-0.5,-0.603599,1,0
0.464912,0,0.967154,1,0
0.240715,-0.75,0.968615,0,1
0.412912,0.5,0.211751,1,0
0.352572,0.5,0.169356,1,0
0.075182,-0.75,-0.884453,0,1
0.085009,0.5,0.980078,0,1
