@relation Autobot.arff

@attribute enemyDistance numeric
@attribute enemyVelocity numeric
@attribute enemyDirectionRelativeToGun numeric
@attribute notHit numeric
@attribute hit numeric

@data
0.099713,0.75,-0.813639,0,1
0.36329,0.5,0.994753,0,1
0.201328,-0.5,-0.487733,1,0
0.212985,0.375,0.537843,1,0
0.42603,0.5,0.581055,1,0
0.206953,-0.75,0.735072,1,0
0.47353,-0.75,0.452434,1,0
0.295159,0.5,-0.784742,1,0
0.307514,-0.75,0.067716,1,0
0.442729,0.5,0.35669,1,0
0.153341,-0.5,-0.999962,1,0
0.438498,0.5,-0.056462,1,0
0.243163,0.5,0.730946,1,0
0.372545,0.5,0.803845,0,1
0.319643,-0.75,-0.359104,1,0
0.356039,-0.75,0.081245,1,0
0.449193,-0.75,0.054687,0,1
0.410028,0.5,0.972632,1,0
0.295517,0.5,-0.949518,1,0
0.519155,-0.5,-0.576527,1,0
0.444215,0.5,0.078693,1,0
0.395712,-0.75,0.512975,1,0
0.421948,0.5,0.656606,0,1
0.163373,-0.5,-0.298391,1,0
0.315503,-0.75,0.999241,1,0
0.142782,0.5,-0.923514,0,1
0.447243,0.5,0.303441,0,1
0.318522,0.5,0.987524,0,1
0.376116,-0.75,-0.14098,0,1
0.496243,-0.75,-0.971966,1,0
0.043804,0,0.614423,0,1
0.416436,0.5,0.62216,1,0
0.405851,-0.25,0.696522,1,0
0.375541,0.5,-0.968399,1,0
0.284204,0.5,-0.051203,0,1
0.470979,0.5,0.601593,1,0
0.130658,0.5,-0.44243,1,0
0.519432,0.5,0.236789,1,0
0.458221,0.5,0.791669,1,0
0.518023,0.5,0.753758,0,1
0.17006,0.5,-0.718871,1,0
0.170343,0.25,-0.973626,0,1
0.223184,-0.75,0.415235,1,0
0.145148,0.5,-0.682269,0,1
0.420091,0.25,-0.633914,1,0
0.251004,0.5,-0.422908,1,0
0.346587,0.5,-0.84539,1,0
0.292382,-0.5,0.998718,1,0
0.449376,-0.75,-0.828215,1,0
0.527693,-0.75,-0.635398,0,1
0.455031,-0.75,0.774406,0,1
0.321688,-0.75,0.030871,0,1
0.409938,0.5,-0.646608,1,0
0.453046,-0.75,0.919494,0,1
0.281203,-0.75,-0.431712,1,0
0.615527,0.5,0.991524,1,0
0.466443,0.5,0.334657,1,0
0.18335,0.5,-0.365527,1,0
0.366419,-0.75,-0.842629,1,0
0.481562,0.5,-0.406345,1,0
0.475112,-0.125,-0.97096,1,0
0.253393,0.5,-0.931537,1,0
0.425688,-0.5,-0.797668,1,0
0.463719,-0.75,-0.82879,0,1
0.317738,0.5,-0.895673,1,0
0.489026,0.5,0.059393,0,1
0.212442,0.75,0.774163,1,0
0.416862,0.5,-0.992413,1,0
0.438589,0.125,0.528499,0,1
0.309419,-0.75,0.937204,1,0
0.547411,0.75,0.915018,1,0
0.205375,0.5,-0.313847,1,0
0.202247,-0.75,0.363704,1,0
0.528361,0.5,-0.974849,1,0
0.495509,-0.75,0.871035,1,0
0.048003,0,-0.562086,0,1
0.173468,-0.5,-0.99958,1,0
0.358513,0.5,0.348994,1,0
0.203546,-0.75,0.961024,1,0
0.178203,-0.75,0.758591,1,0
0.123939,-0.75,-0.867026,1,0
0.256744,0.5,0.999453,1,0
0.304784,-0.75,-0.407756,1,0
0.293081,0.5,0.874552,1,0
0.375081,0.5,0.844853,0,1
0.433138,0.5,0.870625,1,0
0.51669,-0.75,0.915427,1,0
0.49776,0.5,-0.498468,1,0
0.441453,0.5,0.232445,0,1
0.239648,-0.75,-0.244288,1,0
0.461127,-0.75,0.404434,1,0
0.041241,-0,0.795034,0,1
0.442031,0.5,0.400432,0,1
0.364121,-0.625,0.1125,1,0
0.390097,0.25,-0.985032,1,0
0.168585,0.5,-0.133939,1,0
0.347773,-0.625,-0.972404,1,0
0.491088,-0.75,0.020244,1,0
0.138301,0.5,0.946174,1,0
0.658054,-0.75,-0.782672,1,0
0.449278,-0.75,0.997237,0,1
0.456777,-0.75,0.99608,1,0
0.142752,0.5,-0.494204,1,0
0.176665,0.5,0.99452,1,0
0.459435,-0,0.164061,1,0
0.274104,0.5,0.472634,1,0
0.435935,0.5,0.232757,1,0
0.393436,0.5,0.919238,1,0
0.466045,-0.75,0.840148,1,0
0.495628,-0.75,-0.967536,0,1
0.501774,0.5,-0.691582,0,1
0.33677,0.5,0.821505,0,1
0.209188,0.5,0.616908,1,0
0.511779,0,-0.939911,0,1
0.334509,-0.75,0.574405,1,0
0.371368,-0.75,-0.187692,1,0
0.414504,0.5,-0.936894,0,1
0.398185,-0.5,-0.543985,1,0
0.294124,-0.75,-0.546428,0,1
0.390258,0,-0.565518,0,1
0.286359,0.5,0.972072,1,0
0.302222,0.5,0.799413,0,1
0.068571,0.5,-0.750064,1,0
0.236169,-0.75,-0.755052,1,0
0.387828,0.5,0.97416,1,0
0.368421,0.375,0.591519,1,0
0.174679,-0.75,-0.976571,1,0
0.60234,-0.75,-0.126531,1,0
