@relation AutobotDataset-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0

@attribute enemyDistance numeric
@attribute enemyVelocity numeric
@attribute enemyDirectionRelativeToGun numeric
@attribute hit numeric

@data
0.098476,0.833333,0.999915,0
0.218271,0.833333,0.999915,1
0.338482,0.833333,0.999778,1
0.441568,0.833333,0.999914,1
0.546657,0.833333,0.999792,1
0.650545,0.833333,0.357189,0
0.730034,0.833333,0.000032,0
0.807232,0.833333,0.088391,0
0.824235,0,0.510681,0
0.732638,1,0.539809,0
0.665438,0.833333,0.471059,0
0.708714,0.833333,0.44583,0
0.763739,0.166667,0.372502,0
0.803109,0.166667,0.348446,0
0.836221,0,0.4238,0
0.83149,0,0.430784,0
0.750591,0.833333,0.458076,0
0.720199,0.833333,0.448665,1
0.734395,0.833333,0.962355,0
0.751988,0,0.988759,0
0.617052,0,0.988734,1
0.610131,0.833333,0.833274,0
0.722365,0.833333,0.255036,0
0.750078,0,0.157715,0
0.777365,0,0.001333,0
0.892539,0,0.004638,0
0.975768,0.666667,0.004699,1
0.889103,0.833333,0.139782,0
0.958894,0.833333,0.467255,0
0.813247,0.833333,0.988694,0
0.736097,0.333333,0.986896,0
0.62592,0,0.990998,1
0.722973,0,0.990998,0
0.598236,0.833333,0.184202,0
0.660986,0.833333,0.000098,0
0.71412,0.833333,0.000391,0
0.736551,0.833333,0.122432,0
0.768408,0,0.790197,0
0.843975,0,0.839092,0
0.910378,0.916667,0.846038,0
0.986009,0.833333,0.78485,0
0.989013,0.833333,0.702327,0
0.911718,0.166667,0.597107,0
0.706712,0,0.471508,0
0.526492,0,0.430112,0
0.382998,0.166667,0.399685,1
0.303368,0.833333,0.774224,0
0.240242,0.833333,0.901991,1
0.202647,0.166667,0.983586,1
0.085773,0,0.991571,1
0.002531,0.5,0.961019,1
0.916212,0.75,0.499029,0
0.903331,0.166667,0.483096,1
0.849373,1,0.458055,1
0.845978,0.166667,0.971483,0
0.886501,0.833333,0.902317,0
0.89845,0.166667,0.763804,1
0.81857,0,0.323555,0
0.709031,0,0.278175,0
0.688778,0,0.281475,1
0.724016,0.666667,0.013095,0
0.681046,0.833333,0.484549,0
0.511241,0,0.959795,0
0.621722,0.833333,0.974411,0
0.562847,0.333333,0.994847,0
0.429934,0,0.995456,1
0.470581,0.833333,0.44943,0
0.406206,0.833333,0.250441,0
0.510046,0.666667,0.269308,0
0.593638,0,0.283822,1
0.711266,0,0.937211,0
0.744013,0.833333,0.94368,0
0.743394,0.833333,0.39711,0
0.779243,0.833333,0.023368,0
0.724936,0,0.00377,0
0.70306,0,0.006814,0
0.799058,0.5,0.008017,1
0.70482,0.833333,0.442103,0
0.704821,0.833333,0.927014,0
0.708749,0,0.932728,0
0.701119,0,0.943393,0
0.683105,0.166667,0.955694,0
0.735689,0.833333,0.94791,1
0.78958,0.166667,0.92827,0
0.745685,0.833333,0.924168,0
0.653121,0,0.489026,0
0.662264,0,0.348144,0
0.578998,0,0.450351,0
0.501685,0.333333,0.474491,0
0.440456,0.833333,0.468136,1
0.456013,0.833333,0.357607,0
0.410413,0.416667,0.12889,0
0.439388,0,0.152073,1
0.533069,0,0.977173,0
0.581574,0.833333,0.858814,0
0.595589,0.833333,0.416119,0
0.671405,0.833333,0.007323,0
0.650613,0.5,0.005501,1
0.640595,0,0.005822,0
0.565499,1,0.809152,0
0.481043,0.833333,0.979054,0
0.456136,0.833333,0.978108,1
0.470152,0.166667,0.979457,0
0.369801,0,0.982885,1
0.299789,0,0.118553,0
0.28093,0,0.149404,0
0.325589,0.75,0.185222,0
0.258298,0.833333,0.350026,0
0.23841,0.833333,0.520508,0
0.220175,0.833333,0.765413,0
0.259804,0.833333,0.845049,0
0.351931,0.833333,0.899694,0
0.481901,0.833333,0.992016,0
0.168486,0,0.996562,1
0.455633,0,0.905786,0
0.099263,0.75,0.897473,1
0.329988,0,0.99729,0
0.21618,0.833333,0.977345,1
0.332465,0.833333,0.384325,0
0.435567,0.666667,0.280298,0
0.485139,0,0.006088,0
0.555935,0,0.00511,0
0.646079,0,0.007445,1
0.618108,0,0.077284,0
0.541094,0.833333,0.139976,1
0.38236,0.416667,0.49001,0
0.37133,0.166667,0.353154,0
0.369095,0.166667,0.157368,0
0.326553,0,0.148234,0
0.394744,0.5,0.151246,1
0.150939,0.833333,0.10377,1
0.002994,0.5,0.000019,1
0.318449,0.833333,0.000019,0
0.001496,0.5,0.000019,1
0.020832,0.458333,0.376358,1
0.068052,0,0.75233,1
0,0.5,0.706163,1
0.116307,0,0.757485,0
0.055701,1,0.982905,1
0.127812,0,0.973081,0
0.071384,0.833333,0.867034,1
0.091706,0.833333,0.774187,1
0.0585,0.833333,0.719725,0
0.159248,0.833333,0.841768,0
0.215082,0.333333,0.972426,1
0.191478,0.166667,0.956995,1
0.201752,0.166667,0.922786,1
0.207255,0,0.922678,1
0.206722,0,0.000295,0
0.318854,0.5,0.001898,0
0.243513,0.833333,0.00263,1
0.201103,0.833333,0.098614,1
0.261445,0.416667,0.946398,0
0.211625,0,0.99191,1
0.262623,0,0.87078,0
0.110408,0.166667,0.699983,1
0.180865,0.833333,0.139837,0
0.248433,0.833333,0.142912,0
0.27933,0.833333,0.175553,1
0.315436,0,0.88006,0
0.338121,0,0.895772,0
0.356391,0,0.895756,0
0.31747,0.75,0.915219,0
0.32539,0.833333,0.912595,1
0.817996,0.833333,0.679302,0
0.861849,0.833333,0.580844,0
0.884348,0.416667,0.580888,0
0.879582,0,0.636464,0
0.8678,0,0.672615,0
0.87595,0.833333,0.611528,0
0.894867,0.833333,0.605848,1
0.864856,0.833333,0.983055,0
0.740339,0.833333,0.984125,0
0.827891,0,0.983992,0
0.739437,0,0.989004,0
0.720852,0.833333,0.990027,0
0.741064,0.833333,0.983363,1
0.787252,0.833333,1,1
0.656621,0,0.999998,1
0.555343,0,0.999987,1
0.417151,0,0.999856,1
0.267523,0,0.999987,0
0.097525,0,0.983295,1
0.018931,0.333333,0.508102,1
0.16359,0,0.419363,0
0.326517,0.666667,0.505602,0
0.328974,0.833333,0.298613,0
0.337762,0.25,0.136513,0
0.387641,0,0.111822,0
0.504886,0,0.099241,0
0.594451,0,0.123746,0
0.589252,0.833333,0.068811,0
0.531613,0.833333,0.06582,1
0.477628,0.416667,0.499997,0
0.551543,0,0.639785,0
0.604346,0,0.692089,0
0.608275,0.333333,0.730404,0
0.623146,0.833333,0.765959,0
0.652287,0.833333,0.699714,0
0.696798,0.833333,0.557118,0
0.623173,0,0.441629,0
0.587265,0,0.366607,0
0.517833,0.5,0.304847,0
0.425778,0.833333,0.217855,0
0.352,0.833333,0.128109,0
0.293986,0.833333,0.071919,0
0.342874,0,0.059466,0
0.448167,0,0.095104,1
0.552708,0.666667,0.96235,0
0.51337,0.833333,0.745909,0
0.435564,0.833333,0.140824,0
0.399025,0,0.061451,0
0.439107,0,0.202928,0
0.455511,1,0.287223,0
0.525833,0.833333,0.215384,0
0.53622,0.833333,0.149567,1
0.661663,0,0.479072,0
0.554067,0.833333,0.752772,0
0.782939,0,0.804981,1
0.840535,0.583333,0.575074,0
0.899651,0.833333,0.040068,0
0.934803,0.833333,0.000018,0
0.895664,0,0.004614,0
0.827364,0,0.015695,0
0.885818,0.333333,0.019663,1
0.872998,0.833333,0.4351,1
0.863494,0.833333,0.995704,0
0.892155,0.25,0.999068,0
0.897287,0,0.9996,0
0.770534,0,0.999774,1
0.660035,0.833333,0.999689,1
0.611499,0.833333,0.936776,1
0.562759,0.833333,0.425935,0
0.515033,0.5,0.069958,0
0.361395,0,0.087568,0
0.329603,0,0.266229,1
0.383696,0.75,0.860152,0
0.286176,0.833333,0.962483,0
0.275444,0.833333,0.912624,1
0.27541,0.833333,0.949659,1
0.140938,0,0.990367,1
0.227481,0.833333,0.669391,1
0.244994,0,0.734992,0
0.222657,0,0.999178,0
0.13054,0,0.996033,1
0.002832,0.583333,0.776522,0
0.118766,0.833333,0.834623,0
0.20713,0.833333,0.881782,0
0.291584,0.833333,0.92237,0
0.390723,0.833333,0.930826,1
0.36667,0,0.024016,0
0.318349,0,0.03931,0
0.40404,0,0.044819,1
0.381787,0.833333,0.018343,1
0.336745,0.833333,0.356151,1
0.343869,0.166667,0.845451,0
0.403674,0,0.991766,0
