@relation AutobotDataset-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0

@attribute enemyDistance numeric
@attribute enemyVelocity numeric
@attribute enemyAngle numeric
@attribute enemyHeading numeric
@attribute myGunToEnemyAngle numeric
@attribute firePower numeric
@attribute hit numeric

@data
0.540537,1,0.830118,0.459056,0.325932,0,0
0.412578,1,0.815392,0.314066,0.311126,0,0
0.164944,1,0.943253,0.347525,0.439685,0,1
0.30893,1,0.820114,0.169076,0.315874,0,0
0.007313,0.5,0.919331,0.503668,0.415633,0,1
0.263159,1,0.882823,0.202535,0.378925,0,0
0,0.3125,0.045168,0.742762,0.544121,0,1
0.074491,0,0.259004,0.82153,0.759126,0,0
0.226846,0,0.292233,0.676541,0.792537,0,0
0.29809,0,0.237129,0.531551,0.737131,0,0
0.244896,0,0.226074,0.426294,0.726016,0,0
0.294874,0,0.162483,0.571283,0.662077,0,0
0.315662,0.875,0.154112,0.785283,0.65366,0,0
0.28612,1,0.095919,0.933061,0.595149,0,0
0.379081,0.375,0.07207,0.105643,0.57117,0,0
0.319072,0,0.117436,0.951882,0.616784,0,0
0.341017,0,0.174037,0.806892,0.673694,0,0
0.290906,1,0.180892,0.643778,0.680587,0,1
0.100952,1,0.119219,0.788768,0.618577,0,0
0.143391,1,0.93407,0.944911,0.430452,0,0
0.26711,1,0.938622,0.086125,0.435029,0,0
0.31426,0.5625,0.953853,0.31058,0.450344,0,0
0.288901,1,0.006627,0.231812,0.505369,0,0
0.309317,0.125,0.035681,0.017812,0.534582,0,0
0.228497,0,0.08691,0.870325,0.586091,0,0
0.25037,0.375,0.110023,0.096581,0.609331,0,0
0.203689,0,0.087356,0.285486,0.58654,0,0
0.239737,0.5625,0.05769,0.461844,0.556711,0,1
0.134766,1,0.082699,0.570586,0.581857,0,1
0.141262,1,0.269826,0.425596,0.770007,0,0
0.323981,1,0.305934,0.280607,0.806312,0,0
0.439764,1,0.278895,0.135617,0.779125,0,1
0.383703,0,0.290409,0.294548,0.790703,0,0
0.271187,0,0.257312,0.439538,0.757425,0,0
0.329115,0.875,0.173586,0.820833,0.673241,0,0
0.305618,0,0.194913,0.584528,0.694685,0,0
0.129091,1,0.071803,0.620775,0.570901,0,1
0.272556,1,0.114315,0.765765,0.613646,0,0
0.009277,0.125,0.048458,0.434658,0.547429,0,0
0.206659,1,0.831642,0.651446,0.328929,0,0
0.338728,1,0.79677,0.796436,0.292401,0,1
0.433144,0.3125,0.805896,0.976976,0.301578,0,0
0.482658,0,0.770944,0.079851,0.266434,0,0
0.400876,0,0.695152,0.793648,0.190228,0,1
0.484729,0,0.730152,0.938638,0.22542,0,0
0.265396,0,0.687068,0.648658,0.1821,0,1
0.148187,0,0.742832,0.726729,0.238169,0,1
0.067625,0,0.823759,0.871719,0.319538,0,1
0.036706,0,0.806705,0.012933,0.302391,0,1
0.121918,0.5,0.7754,0.183017,0.270915,0,1
0.331669,0.1875,0.740491,0.637816,0.235815,0,0
0.309462,0,0.796792,0.480279,0.292424,0,0
0.390283,0.625,0.823086,0.380599,0.318862,0,0
0.356671,0.5,0.783097,0.569504,0.278654,0,1
0.264924,0,0.798463,0.789777,0.294104,0,1
0.277277,0.6875,0.773856,0,0.269362,0,0
0.281722,1,0.833691,0.036945,0.329525,0,0
0.369369,0.4375,0.867802,0.879001,0.363822,0,0
0.396439,0.625,0.882452,0.64409,0.378553,0,0
0.545244,1,0.852484,0.749347,0.34842,0,0
0.662079,0.4375,0.846339,0.911066,0.342242,0,0
0.709603,0,0.82661,0.103863,0.322405,0,1
0.550428,1,0.87239,0.07598,0.368435,0,0
0.657291,1,0.824679,0.349231,0.320463,0,0
0.583374,1,0.838127,0.22097,0.333985,0,0
0.564518,0.1875,0.892131,0.872031,0.388285,0,0
0.377889,0,0.898022,0.996806,0.394208,0,0
0.334789,0,0.847098,0.138019,0.343005,0,0
0.438464,0,0.81439,0.283009,0.310118,0,0
0.584905,0.625,0.823595,0.478188,0.319373,0,0
0.599322,1,0.794658,0.549986,0.290278,0,0
0.551106,1,0.762051,0.404996,0.257493,0,0
0.428525,1,0.744047,0.260006,0.239391,0,0
0.259702,1,0.83485,0.2377,0.33069,0,1
0.346755,1,0.787124,0.115016,0.282703,0,0
0.213989,1,0.876652,0.38269,0.37272,0,1
0.314143,1,0.714114,0.67267,0.251966,0,0
0.449757,1,0.721607,0.81766,0.216828,0,1
0.571155,1,0.740813,0.756318,0.236139,0,0
0.698998,1,0.729446,0.611328,0.224709,0,0
0.737163,0,0.733627,0.391055,0.228914,0,0
0.813991,0,0.755067,0.455185,0.25047,0,0
0.801296,0,0.780349,0.600175,0.275891,0,0
0.696937,0,0.798,0.745165,0.293639,0,0
0.576049,0.375,0.794894,0.902702,0.290516,0,0
0.5674,1,0.817896,0.081557,0.313644,0,0
0.632,1,0.847463,0.940343,0.343372,0,0
